Point, Distance, Depth, Resistivity
T3_92.3162r, 92.3162, 1.79, 4931.7
T3_92.3162r, 92.3162, 2.83, 7286.5
T3_92.3162r, 92.3162, 3.97, 7513.4
T3_92.3162r, 92.3162, 5.22, 6237.2
T3_92.3162r, 92.3162, 6.59, 5068.1
T3_92.3162r, 92.3162, 8.11, 4395.3
T3_92.3162r, 92.3162, 9.77, 3924.6
T3_92.3162r, 92.3162, 11.6, 3223.8
T3_94.8162r, 94.8162, 0.854, 5519.8
T3_94.8162r, 94.8162, 1.79, 4235.5
T3_94.8162r, 94.8162, 2.83, 4231.1
T3_94.8162r, 94.8162, 3.97, 4082.9
T3_94.8162r, 94.8162, 5.22, 3902.7
T3_94.8162r, 94.8162, 6.59, 4006.7
T3_94.8162r, 94.8162, 8.11, 4402.3
T3_94.8162r, 94.8162, 9.77, 4886.5
T3_94.8162r, 94.8162, 11.6, 5081.6
T3_97.3162r, 97.3162, 0.854, 7707.3
T3_97.3162r, 97.3162, 1.79, 4598.7
T3_97.3162r, 97.3162, 2.83, 5637.5
T3_97.3162r, 97.3162, 3.97, 7080.3
T3_97.3162r, 97.3162, 5.22, 8018.1
T3_97.3162r, 97.3162, 6.59, 8652.2
T3_97.3162r, 97.3162, 8.11, 9337.6
T3_97.3162r, 97.3162, 9.77, 10696.1
T3_97.3162r, 97.3162, 11.6, 14759.7
T3_99.8162r, 99.8162, 0.854, 8202.6
T3_99.8162r, 99.8162, 1.79, 3682.5
T3_99.8162r, 99.8162, 2.83, 3975.9
T3_99.8162r, 99.8162, 3.97, 5566
T3_99.8162r, 99.8162, 5.22, 7290.5
T3_99.8162r, 99.8162, 6.59, 8415.3
T3_99.8162r, 99.8162, 8.11, 8932.6
T3_99.8162r, 99.8162, 9.77, 9554.2
T3_99.8162r, 99.8162, 11.6, 11848
T3_102.316r, 102.316, 0.854, 3831.6
T3_102.316r, 102.316, 1.79, 4582.3
T3_102.316r, 102.316, 2.83, 4278.8
T3_102.316r, 102.316, 3.97, 3366.3
T3_102.316r, 102.316, 5.22, 2909.5
T3_102.316r, 102.316, 6.59, 2900.6
T3_102.316r, 102.316, 8.11, 3021.6
T3_102.316r, 102.316, 9.77, 2900
T3_102.316r, 102.316, 11.6, 2226.9
T3_104.816r, 104.816, 0.854, 2067.8
T3_104.816r, 104.816, 1.79, 3698.9
T3_104.816r, 104.816, 2.83, 3233.8
T3_104.816r, 104.816, 3.97, 1885.9
T3_104.816r, 104.816, 5.22, 1342.9
T3_104.816r, 104.816, 6.59, 1370.7
T3_104.816r, 104.816, 8.11, 1662.5
T3_104.816r, 104.816, 9.77, 1811.7
T3_104.816r, 104.816, 11.6, 1326.2
T3_107.316r, 107.316, 0.854, 1913.2
T3_107.316r, 107.316, 1.79, 4373.5
T3_107.316r, 107.316, 2.83, 3968.3
T3_107.316r, 107.316, 3.97, 2461.8
T3_107.316r, 107.316, 5.22, 1927.3
T3_107.316r, 107.316, 6.59, 2145.9
T3_107.316r, 107.316, 8.11, 2841.8
T3_107.316r, 107.316, 9.77, 3699.4
T3_107.316r, 107.316, 11.6, 4168.6
T3_109.816r, 109.816, 0.854, 1612.2
T3_109.816r, 109.816, 1.79, 2205.2
T3_109.816r, 109.816, 2.83, 1583.5
T3_109.816r, 109.816, 3.97, 1215.1
T3_109.816r, 109.816, 5.22, 1373.7
T3_109.816r, 109.816, 6.59, 2073.2
T3_109.816r, 109.816, 8.11, 3421.7
T3_109.816r, 109.816, 9.77, 5516.2
T3_109.816r, 109.816, 11.6, 8177.6
T3_112.316r, 112.316, 0.854, 1489.5
T3_112.316r, 112.316, 1.79, 2322.3
T3_112.316r, 112.316, 2.83, 1730.1
T3_112.316r, 112.316, 3.97, 1159
T3_112.316r, 112.316, 5.22, 1139.7
T3_112.316r, 112.316, 6.59, 1651
T3_112.316r, 112.316, 8.11, 2843.1
T3_112.316r, 112.316, 9.77, 5023.4
T3_112.316r, 112.316, 11.6, 8167
T3_114.816r, 114.816, 0.854, 2113.9
T3_114.816r, 114.816, 1.79, 2885.7
T3_114.816r, 114.816, 2.83, 2422.4
T3_114.816r, 114.816, 3.97, 1552.8
T3_114.816r, 114.816, 5.22, 1210.4
T3_114.816r, 114.816, 6.59, 1379.6
T3_114.816r, 114.816, 8.11, 2072.8
